tag	en	fr	pt	es	id	ru	zh
workflowSteps.none	(None)	(Aucun)	(Nenhum)	(Ninguno)	(Tidak ada)	(Нет)	(无)
main.about	About	À propos de	Sobre	Acerca de	Tentang	О программе	关于
passageDetailArtifacts.accept	Accept	Accepter	Aceitar	Aceptar	Terima	Принять	接受
invitationTable.accepted	Accepted	Acceptée	Aceito	Aceptado	Diterima	Принято	已接受
main.course	Access Accredited Course	Accéder à un cours accrédité	Acessar o curso credenciado	Acceder al curso acreditado	Buka Kursus Terakreditasi	Доступ к аккредитованным курсам	访问认证课程
main.logos	Access Logos Resources	Accès Ressources Logos	Acessar recursos de logotipos	Acceder a Recursos Logos	Buka Sumber Logos	Доступ к ресурсам Logos	访问徽标资源
main.openContent	Access Open Content	Accéder au contenu ouvert	Acessar conteúdo aberto	Acceso a contenido abierto	Buka Konten Akses Terbuka	Доступ к открытому контенту	访问开放内容
main.videos	Access Training Videos	Accéder aux vidéos de formation	Acessar vídeos de treinamento	Acceder a los vídeos de formación	Buka Video Latihan	Доступ к учебным видеоматериалам	访问培训视频
main.walkThru	Access Walk Through	Accès à la visite guidée	Passeio pelo Access	Acceder al recorrido	Buka Video Pengenalan APM	Доступ к просмотру	Access 演示
usertable.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
mediaTab.actions	Actions	Actions	Ações	Acciones	Tindakan	Действия	行动
artifactType.activity	Activity	Activité	Atividade	Actividad	Aktivitas	Деятельность	活动
profile.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
passageDetailArtifacts.activity	Add Activity	Ajouter une activité	Adicionar Atividade	Añadir actividad	Tambahkan Aktifitas	Добавить активность	添加活动
assignmentTable.addScheme2	Add Assignment Scheme	Ajouter un plan d'affectation	Adicionar Esquema de Atribuição	Añadir esquema de asignación	Tambah Skema Tugas	Добавить схему назначений	添加作业方案
discussionList.add	Add Discussion	Ajouter une discussion	Adicionar Discussão	Añadir discusión	Tambahkan Diskusi	Добавить обсуждение	添加讨论
usertable.addMember	Add Member	Ajouter utilisateur	Adicionar Membro	Añadir miembro	Tambahkan Anggota	Добавить участника	添加成员
selectArtifactCategory.addNewCategory	Add New Category	Ajouter une nouvelle catégorie	Adicionar Nova Categoria	Añadir nueva categoría	Tambahkan Kategori Baru	Добавить новую категорию	添加新范畴
usertable.addNewUser	Add New Member	Ajouter un nouveau membre	Adicionar Novo Utilizador	Añadir nuevo miembro	Tambahkan Anggota Baru	Добавить нового пользователя	添加新成员
selectArtifactType.addNewType	Add New Type	Ajouter un nouveau type	Adicionar Novo Tipo	Añadir nuevo tipo	Tambahkan Jenis Baru	Добавить новый тип	添加新类型
planActions.addNote	Add Note	Ajouter une note	Adicionar nota	Añadir Nota	Tambahkan Catatan	Добавить заметку	添加注释
planSheet.addPassage	Add Passage	Ajouter un passage	Adicionar Passagem	Añadir pasaje	Tambahkan Bagian	Добавить отрывок	添加片段
assignmentTable.addScheme	Add Permission Scheme	Ajouter un schéma d'autorisation	Adicionar esquema de permissões	Añadir esquema de permisos	Tambah Skema Perizinan	Добавить схему разрешений	添加权限方案
cards.addTeam	Add Team	Ajouter une équipe	Adicionar Equipe	Añadir Equipo	Tambahkan Tim	Добавить команду	添加团队
spelling.addToDict	Add to dictionary	Ajouter au dictionnaire	Adicionar ao dicionário	Añadir al diccionario	Tambahkan ke kamus	Добавить в словарь	添加至词典
keyTerms.addTargetWord	Add Translation	Ajouter une traduction	Adicionar Tradução	Añadir traducción	Tambahkan Terjemahan	Добавить перевод	添加译文
workflowSteps.addingStep	Adding Workflow Step:	Ajout d'une étape de workflow :	Adição de etapa de fluxo de trabalho:	Añadir paso de flujo de trabajo:	Sedang Menambahkan Lankah Alur Kerja:	Добавление шага рабочего процесса:	添加工作流步骤：
transcribeReject.comment	Additional Comment	Commentaire supplémentaire	Comentário Adicional	Comentario adicional	Catatan Tambahan	Дополнительный комментарий	额外注释
profile.additionalSettings	Additional Settings	Paramètres supplémentaires	Definições adicionais	Ajustes adicionales	Pengaturan Tambahan	Дополнительные настройки	附加设置
main.admin	Admin	Admin	Administrador	Admin	Admin	Администратор	管理
deleteExpansion.advanced	Advanced	Avancé	Avançado	Avanzado	Advanced	Расширенные	高级
voice.age	Age	Âge	Idade	Edad	Usia	Возраст	年龄
shared.ai	AI	AI	IA	AI	AI	AI	人工智能
artifactType.airesource	AI Generated	Généré par l'IA	Gerada por IA	Generado por IA	Dihasilkan oleh AI	Сгенерированный ИИ	AI 生成
findResource.queryBuilder	AI Query Builder	Constructeur de requêtes pour l'IA	Criador de consultas de IA	Generador de consultas AI	Pembuat Kueri AI	Конструктор запросов AI	人工智能查询生成器
transcriber.aiAsrFailed	AI transcription failed	Échec de la transcription par l'IA	Falha na transcrição de IA	Fallo en la transcripción AI	Transkripsi AI gagal	Не удалось выполнить транскрипцию AI	人工智能转录失败
grid.all	All	Tout	Todos	Todo	Semua	Все	全部
keyTerms.all	All	Tous	Todos	Todos	Semua	Все	全部
mediaTab.all	All	Toutes	Todos	Todos	Semua	Все	全部
filterMenu.all	All	Toutes	Todos	Todos los	Semua	Все	全部
filterMenu.allSteps	All Steps	Toutes les étapes	Todas as Etapas	Todos los Pasos	Semua Langkah	Все шаги	全部步骤
voice.allTeams	All Teams	Toutes les équipes	Todas as equipes	Todos los equipos	Semua Tim	Все команды	所有团队
invite.alreadyInvited	Already invited!	Déjà invité !	Já convidado!	Ya he sido invitado	Sudah diundang!	Уже приглашен!	邀请过了
hotKey.altKey	Alt	Alt	Alt	Alt	Alt	Alt	转换
projectDownload.amount	Amount to download	Quantité à télécharger	Quantidade para download	Cantidad a descargar	Jumlah yang akan diunduh	Сумма для загрузки	下载量
voice.stJoin	and	et	e	y	dan	и	并且
main.apiError	API Error:	Erreur API:	Erro de API:	Error de la API:	Kesalahan API:	Ошибка API:	API 错误：
scriptureTableFilter.apply	Apply	Appliquer	Aplicar	Aplicar	Terapkan	Применить	应用
commentCard.approve	Approve	Approuver	Aprovar	Aprobar	Setuju	Одобрить	批准
commentCard.approved	Approved	Approuvé	Aprovado	Aprobado	Disetujui	Одобрено	已批准
keyTerms.aramaic	Aramaic	Araméen	Aramaico	Arameo	Bahasa Aram	Арамейский	阿拉米文
alert.areYouSure	Are you sure?	Êtes-vous certain(e) ?	Você tem certeza?	¿Está seguro?	Apakah Anda yakin?	Вы уверены?	您确定吗？
selectArtifactType.artifactType	Artifact Type	Type d'artefact	Tipo de Artefato	Tipo de artefacto	Jenis Sumber	Тип дополнительного материала	学习工具类型
discussionCard.assign	Assign	Attribuer	Atribuir	Asignar	Tugaskan	Назначить	指定
planActions.assign	Assign	Affecter	Atribuir	Asignar	Tugaskan	Назначить	分配
planSheet.assigned	Assigned	Assigné	Atribuído	Asignado	Ditugaskan	Назначено	已分配
toDoTable.assigned	Assigned	Affecté à	Atribuído	Asignado	Ditugaskan	Назначено	已分配
sortMenu.assignment	Assigned To	Affecté à	Atribuída a	Asignado a	Ditugaskan Kepada	Назначено	已分配到
peer.assignment	assignment	affectation	atribuição	asignación	tugas	задание	任务
shared.scheme2	Assignment Scheme	Schéma d'affectation	Esquema de atribuição	Esquema de asignación	Skema Tugas	Схема назначений	分配方案
assignSection.schemeName2	Assignment Scheme Name	Nom du plan d'affectation	Nome do esquema de atribuição	Nombre del esquema de asignación	Nama Skema Tugas	Имя схемы назначения	分配方案名称
assignmentTable.title	Assignments	Affectations	Atribuições	Asignaciones	Tugas	Задачи	作业
mediaActions.attach	Associate	Associé	Associar	Asociar	Hubungkan	Связать	关联
mediaTab.associated	Associated	Associé	Associado	Asociado	Terhubung	Связанные	关联的
planTabs.associations	Associations	Associations 	Associações	Asociaciones	Hubungan	Ассоциации	关联
keyTerms.attribute	Attribute	Attribut	Atributo	Atributo	Sifat	Атрибут	属性
audacityManager.installError	Audacity install error	Erreur d'installation d'Audacity	Erro ao instalar o Audacity	Error de instalación de Audacity	Kesalahan pemasangan Audacity	Ошибка установки Audacity	胆敢 安装错误
audacityManager.title	Audacity Manager	Gestionnaire d'Audacity	Gerenciador do Audacity	Administrador de Audacity	Pengelola Audacity	Менеджер Audacity	胆敢 管理器
audacityManager.audacityProject	Audacity Project	Projet Audacity	Projeto Audacity	Proyecto Audacity	Proyek Audacity	Проект Audacity	胆敢方案
main.media	Audio	Audio	Áudio	Audio	Audio	Аудио	音频
mediaTab.mediaAssociations	Audio Associations	Associations audio	Associações de Áudio	Asociaciones de audio	Hubungan audio	Связи аудио	音频关联
shared.mediaAttached	Audio Attached	Audio attachés	Áudio Anexado	Audio Adherido	Berkas Audio Terlampir	Аудио прикреплено	已附加音频
shared.mediaDetached	Audio Detached	Médias Désassocier	Áudio Desanexado	Audio Separado	Berkas Audio Terlepas	Аудио отключено	已附加音频
cards.normalize	Audio Normalize	Normalisation audio	Audio Normalize	Normalizar audio	Normalisasi Audio	Нормализация звука	音频标准化
category.note	Audio Note	Note audio	Nota de áudio	Nota de audio	Catatan Audio	Аудиозаметка	音频笔记
category.notes	audio note(s)	note(s) audio	nota(s) de áudio	nota(s) de audio	catatan audio	аудиозаметка(и)	音频笔记(s)
newProject.audioProduct	Audio Product	Produit audio	Produto de Áudio	Producto de audio	Produk Audio	Аудио продукт	音频产品
main.project	Audio Project	Project audio	Projeto de Áudio	Proyecto de audio	Proyek Audio	Аудио проект	音频方案
cards.projectCreated	Audio Project Created	Création d'un projet audio	Projeto de Áudio Criado	Proyecto de audio creado	Buat Proyek Audio	Аудио проект создан	音频项目已创建
vProject.projectName	Audio Project Name	Nom du projet	Nome do Projeto de Áudio	Nombre del proyecto de audio	Nama Proyek Audio	Название аудио проекта	音频项目的名称
viewMode.audioProject	Audio Project Setup	Configuration du projet audio	Configuração de Projeto de Áudio	Configuración del proyecto de audio	Pengaturan Proyek Audio	Настройка аудио проекта	音频项目已创建
vProject.type	Audio Project Type	Type de projet audio	Tipo do Projeto de Áudio	Tipo de proyecto de audio	Jenis Proyek Audio	Тип аудио проекта	音频项目的类型
invite.allUsersProjects	Audio Projects	Projets audio	Projetos de Áudio	Proyectos de audio	Proyek Audio	Аудио проекты	音频方案
passageDetailArtifacts.audioScripture	Audio Scripture	Écriture audio	Áudio Escritura	Audio Escritura	Rekaman Alkitab	Аудио Писание	音频经文
cards.mediaUploaded	Audio Uploaded	Audio téléchargé	Áudio Enviado	Audio cargado	Audio Diunggah	Аудио загружено	音频已上传
mediaTab.autoMatch	Auto Match	Correspondance Automatique	Correspondência Automática	Coincidencia automática	Pasangkan Secara Otomatis	Автоматическая Подборка	自动匹配
template.autoMatchTemplate	Auto Match Template	Modèle de correspondance automatique	Modelo de correspondência automática	Plantilla Auto Match	Cocokkan Tempate Secara Otomatis	Шаблон автосоответствия	自动匹配模板
wsAudioPlayerSegment.segmentSettings	Auto Segment Parameters	Paramètres de segment automatique	Parâmetros do Segmento Automático	Parámetros del segmento automático	Pengaturan Pembagian Secara Otomatis	Параметры авто сегмента	自动片段参数
cards.recognizeSpeech	Auto Transcription	Transcription automatique	Transcrição automática	Transcripción automática	Transkripsi Otomatis	Автотранскрипция	自动转录
cards.recognizeSpeechSettings	Auto Transcription Settings	Paramètres de transcription automatique	Definições de transcrição automática	Configuración de la transcripción automática	Pengaturan Transkripsi Otomatis	Настройки автотранскрипции	自动转录设置
wsAudioPlayer.recognizeSpeechSettings	Auto Transcription Settings	Paramètres de transcription automatique	Definições de transcrição automática	Configuración de la transcripción automática	Pengaturan Transkripsi Otomatis	Настройки автотранскрипции	自动转录设置
mediaTab.availablePassages	Available Passages	Passages disponibles	Passagens Disponíveis	Pasajes disponibles	Bagian yang Tersedia	Доступные отрывки	可用的片段
grid.avg	Avg	l' avarie	Média	Avg	Rata-rata	Средн.	平均：
access.back	Back	Précédent	Voltar	Atrás	Kembali	Назад	后去
workflowSteps.backTranslation	Back Translate	Traduire en arrière	Criar uma Retrotradução	Volver Traducir	Buat Terjemahan Balik	Обратный перевод	回译
vProject.backtranslation	Back Translation	Traduction inverse	Retrotradução	Retroceder Traducción	Terjemahan Balik	Обратный перевод	回译
vProject.basic	Basic	Basique	Básico	Básico	Sederhana	Основные	基本
transcriber.beginRecognize	Begin Auto Transcription	Commencer la transcription automatique	Iniciar transcrição automática	Iniciar la transcripción automática	Mulai Transkripsi Secara Otomatis	Начать автоматическую транскрипцию	开始自动转录
voice.convert	Begin Conversion	Commencer la conversion	Iniciar conversão	Iniciar conversión	Mulai Konversi	Начать преобразование	开始转换
wsAudioPlayer.beginVoiceConvert	Beginning voice conversion...	Début de la conversion de la voix...	A iniciar a conversão de voz...	Comenzando conversión de voz...	Memulai konversi suara...	Начинаем преобразование голоса...	开始语音转换...
keyTerms.being	Being	Être	Sendo	Ser	Makhluk	Быть	有生命的
newProject.keyFactors	Best option if...	La meilleure option si...	Melhor opção se...	La mejor opción si...	Pilihan terbaik kalau...	Лучший вариант, если...	最佳选项，如果...
cards.bibleid	Bible Id	Identité biblique	Id da Bíblia	Id Biblia	ID Alkitab	Библейский ид	圣经 ID
artifactCategory.biblestory	Bible Story	Histoire biblique	História Bíblica	Historia bíblica	Cerita Alkitab	Библейская история	圣经故事
scriptureTable.book	Book	Livre	Livro	Libro	Kitab	Книга	书
artifactCategory.bookintro	Book Introduction	Introduction au livre	Introdução de Livro	Introducción al libro	Pengantar Kitab	Введение	书介绍
template.bookname	Book name	Nom du livre	Nome do livro	Nombre del libro	Nama kitab	Название книги	书名
findResource.bibleProjectLang	Book Overviews	Aperçus de livres	Visões gerais de livros	Resumen de libros	Ringkasan Kitab	Аннотации к книгам	书籍概述
audacityManager.browse	Browse	Parcourir	Procurar	Examinar	Jelajahi	Обзор	浏览
newProject.uploadAudio	Bulk Upload	Téléchargement en masse	Upload a granel	Carga masiva	Unggah file jumlah besar	Массовая загрузка	批量上传
main.loadingTable	Busy...please wait.	Occupé...veuillez patienter.	Ocupado... Por favor, aguarde.	Ocupado... por favor espere.	Sibuk...mohon tunggu.	Занято...пожалуйста, подождите.	忙...请稍候。
resource.byWord	By Word	Par mot	Por palavra	Por palabra	Menurut Kata	По слову	按单词
vProject.permissionEditSheet	Can Edit Spreadsheet	Peut éditer la feuille de calcul	Pode editar a folha de cálculo	Puede editar la hoja de cálculo	Dapat Mengedit Spreadsheet	Может редактировать электронную таблицу	可以编辑电子表格
vProject.permissionPublish	Can Publish	Peut publier	Pode publicar	Puede publicar	Dapat Menerbitkan	Может публиковать	可以发布
profile.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
mediaTitle.cancel	Cancel Recording	Annuler l'enregistrement	Cancelar gravação	Cancelar grabación	Batalkan Perekaman	Отмена записи	取消录音
keyTerms.cancel	Cancel Translation	Annuler la traduction	Cancelar tradução	Cancelar traducción	Batalkan Terjemahan	Отменить перевод	取消翻译
passageDetailArtifacts.canceling	Canceling resource creation	Annulation de la création de ressources	Cancelando criação de recursos	Cancelar la creación de recursos	Membatalkan pembuatan sumber	Отменить создание ресурса	取消资源创建
verse.canceling	Canceling verse markup	Annulation du balisage du couplet	Cancelamento da marcação de versos	Cancelación del marcado de versos	Membatalkan markup ayat	Отмена разметки стиха	取消诗句标记
uploadProgress.canceling	Canceling...	Annulation...	Cancelando...	Cancelando...	Sedan membatalkan...	Отмена...	取消中...
passageDetailArtifacts.category	Category	Catégorie	Categoria	Categoría	Kategori	Категория	范畴
selectArtifactCategory.duplicateCategory	Category already exists.	La catégorie existe déjà.	Categoria já existe.	La categoría ya existe.	Kategori itu sudah ada.	Категория уже существует.	范畴已存在。
discussionList.categoryList	Category List	Liste des catégories	Lista de Categorias	Lista de categorías	Daftar Kategori	Список категорий	范畴目录
picker.change	Change	Changement	Alterar	Cambiar	Ubah	Изменить	更改
discussionCard.changeAssignment	Change Assignment	Modifier l'affectation	Mudança de Atribuição	Cambiar la asignación	Ubah Tugas	Изменить назначение	改变任务
picker.changeName	Change Name	Changement de nom	Alterar nome	Cambiar nombre	Ganti Nama	Изменение Имя	更改名称
transcriptionTab.changed	Changed	Modifié	Alterado	Cambiado	Sudah berubah	Изменено	已经改变
transcriptionTab.exportSince	Changes since date	Modifications depuis la date	Alterações desde a data	Cambios desde la fecha	Perubahan sejak tanggal	Изменения с даты	自日期以来的变化
findResource.chapter	Chapter	Chapitre	Capítulo	Capítulo	Pasal	Глава	章节
category.chapternumber	Chapter Number	Numéro de chapitre	Número do capítulo	Número de capítulo	Nomor Pasal	Номер главы	章号
languagePicker.selectLanguage	Choose Language Details	Choisir les détails de la langue	Escolher Detalhes do Idioma	Elegir detalles de la lengua	Pilih Rincian Bahasa	Детальная информация о языке	选择语言详细信息
picker.selectLanguage	Choose Language Details	Choisir les détails de la langue	Selecionar detalhes do idioma	Elija Detalles del idioma	Pilih Rincian Bahasa	Выбор сведений о языке	选择语言详细信息
mediaTab.choosePassage	Choose Passage	Choisir le passage	Selecionar Passagem	Elegir pasaje	Pilih Bagian	Выберите отрывок	选择片段
passageDetailArtifacts.projectResourceConfigure	Chunk into Resources	Découpage en ressources	Parte num Recurso	Chunk into Resources	Bagikan menjadi Sumber	Фрагмент в ресурс	分裂到资源
main.clear	Clear	Effacer	Limpar	Borrar	Hapus	Очистить	清除
main.clearCache	Clear cache	Vider le cache	Limpar cache	Borrar caché	Bersihkan cache	Очистить кэш	清除缓存
findResource.clearQuery	Clear query	Effacer la requête	Limpar consulta	Borrar consulta	Hapus kueri	Очистить запрос	清除查询
wsAudioPlayerSegment.removeAll	Clear Segments	Effacer les segments	Limpar Segmentos	Borrar segmentos	Bersihkan Segmen	Очистить сегменты	清除片段
findResource.clipboard	clipboard	presse-papiers	área de transferência	portapapeles	papan klip	буфер обмена	剪贴板
wsAudioPlayerSegment.close	Close	Proche	Fechar	Cerrar	Tutup	Закрыть	关闭
cards.closeNoSave	Close without Saving?	Fermer sans sauvegarder ?	Fechar sem guardar?	¿Cerrar sin guardar?	Tutup tanpa menyimpan?	Закрыть без сохранения?	关闭而不保存？
mediaTab.cloudSync	Cloud Sync	Cloud Sync	Sincronização na Nuvem	Sincronización en la nube	Kirim/Terima internet	Облачная синхронизация	云端 同步
picker.codeExplained	Code Explained	Explication du code	Código explicado	Explicación del código	Penjelasan kode bahasa	Объяснение кода	代码解释
commentEditor.comment	Comment	Remarque	Comentário	Comentario	Catatan	Комментарий	注释
transcriber.comment	Comment	Commentaire 	Comentário	Comentario	Catatan	Комментарий	注释
tool.community	Community Test	Test communautaire	Teste da Comunidade	Prueba comunitaria	Pemeriksaan Masyarakat	Тест сообщества	社区测试
workflowSteps.communityTest1	Community Test 1	Test communautaire 1	Teste da Comunidade 1	Prueba comunitaria 1	Pemeriksaan Masyarakat 1	Тест 1 сообщества	社区测试一
workflowSteps.communityTest2	Community Test 2	Test communautaire 2	Teste da Comunidade 2	Prueba comunitaria 2	Pemeriksaan Masyarakat 2	Тест 2 сообщества	社区测试二
artifactCategory.retelling	Community Test Retell	Test de la communauté Répétition	Recontagem de teste comunitário	Prueba comunitaria Retell	Cerita Ulang Masyarakat	Тест сообщества Пересказ	社区测试重试
artifactType.retell	Community Test Retell	Test communautaire Retell	Recontagem de teste comunitário	Prueba comunitaria Volver a contar	Cerita Ulang Masyarakat	Тест сообщества Пересказ	社区测试重试
tool.teamCheck	Compare	Comparez	Compare	Comparar	Bandingkan	Сравнить	比较
workflowSteps.teamCheck	Compare	Comparer	Comparar	Comparar	Bandingkan	Сравнить	比较
profile.completeProfile	Complete User Profile	Remplir le profil du utilisateur	Completar Perfil do Usuário	Perfil de usuario completo	Lengkapi Profil Pengguna	Заполнить профиль пользователя	完整用户资料
passageDetailArtifacts.completed	Completed	Complété	Concluído	Completado	Selesai	Завершено	已完成
transcriber.done	Completed	Terminé	Concluído	Completado	Selesai	Завершён	已完成
passageRecord.compressed	Compressed	Compressé	Compactado	Comprimido	Dipadatkan	Сжатый	压缩的
vProject.configure	Configure	Configurer	Configurar	Configurar	Konfigurasi	Настроить	设置
assignSection.title2	Configure Assignment Scheme	Configurer le schéma d'affectation	Configurar esquema de atribuição	Configurar esquema de asignación	Atur Skema Tugas	Настроить схему назначений	配置分配方案
assignmentTable.assignSec2	Configure Assignments	Configurer les affectations	Configurar Atribuições	Configurar asignaciones	Atur Tugas	Настройка назначений	配置作业
passageDetailArtifacts.configure	Configure General	Configuration générale	Configuração Geral	Configurar el general	Konfigurasi Umum	Общие параметры	设置普通
assignSection.title	Configure Permission Scheme	Configurer le schéma des autorisations	Configurar esquema de permissões	Configurar esquema de permisos	Atur Skema Perizinan	Настроить схему разрешений	配置权限方案
assignmentTable.assignSec	Configure Permissions	Configurer les autorisations	Configurar permissões	Configurar permisos	Atur Perizinan	Настройка разрешений	配置权限
mediaTab.confirmChange	Confirm Change	Confirmer le changement	Confirmar alteração	Confirmar cambio	Konfirmasi Perubahan	Подтвердить изменение	确认更改
assignSection.confirmDelete	Confirm Delete	Confirmer Supprimer	Confirmar Eliminar	Confirmar Borrar	Konfirmasi Penghapusan	Подтвердить удаление	确认删除
assignSection.confirmModify	Confirm Modify	Confirmer Modifier	Confirmar Modificar	Confirmar Modificar	Konfirmasi Pengeditan	Подтвердить Изменить	确认修改
alert.confirmation	Confirmation	Confirmation	Confirmação	Confirmación	Konfirmasi	Подтверждение	确认
transcriber.congratulation	Congratulations	Félicitations	Parabéns	Enhorabuena	Selamat	Поздравления	恭喜您！
access.title	Connection Mode	Mode de connexion	Modo de Conexão	Modo de conexión	Mode Koneksi	Режим соединения	连接模式
shared.consultant	Consultant	Consultant	Consultor	Consultor	Konsultan	Консультант	顾问
tool.consultantCheck	Consultant Check	Vérification du consultant	Verificação do consultor	Comprobación del consultor	Pemeriksaan Konsultan	Проверка консультанта	顾问检查
workflowSteps.consultantCheck	Consultant Check	Contrôle du consultant	Verificação do Consultor	Comprobación del consultor	Pemeriksaan Konsultan	Проверка консультанта	顾问检查
permission.consultantInTraining	Consultant In Training	Consultante en formation	Consultor Em Treinamento	Consultor en formación	Konsultan Sedang Dilatih	Консультант по обучению	培训中的顾问
grid.contains	Contains	Contient	Contém	Contiene	Mengandung	Содержит	包含
main.continue	Continue	Continuer	Continuar	Continuar	Lanjut	Продолжить	继续
alert.delete	Continue with Delete?	Continuer avec la suppression?	Continuar com Delete?	Continúe con ¿Borrar?	Lanjutkan dengan hapus?	Продолжить с Удалением?	继续删除？
import.continue	Continue?	Continuer?	Continuar?	¿Continuar?	Lanjut?	Продолжить?	是否继续？
treeChart.contributions	Contributions toward	Contributions vers	Contribuições para	Contribuciones hacia	Kontribusi untuk	Участие в работе	捐款给
cards.convertVoice	Convert Voice	Convertir la voix	Converter voz	Convertir Voz	Konversi Suara	Преобразование голоса	转换语音
cards.convertVoiceSettings	Convert Voice Settings	Paramètres de conversion de la voix	Converter configurações de voz	Convertir Ajustes de Voz	Pengaturan Konversi Suara	Настройки преобразования голоса	转换语音设置
import.copyfail	Copy Failed	La copie a échoué	Falha ao Copiar	Copia fallida	Gagal Menyalin	Ошибка копирования	复制失败
import.copy	Copy Report	Copier le rapport	Copiar Relatório	Copiar informe	Salin Laporan	Копировать отчет	复制报表
shared.clipboardCopy	Copy to clipboard	Copier dans le presse-papiers	Copiar para a área de transferência	Copiar al portapapeles	Salin ke papan klip	Скопировать в буфер обмена	复制到剪贴板
transcriptionTab.copyTranscriptions	Copy Transcriptions	Copie des transcriptions	Copiar Transcrições	Copiar transcripciones	Salin Transkripsi	Скопировать транскрипции	复制听写本
cards.copyright	Copyright	Copyright	Direitos de autor	Copyright	Hak cipta	Авторское право	版权
transcribeReject.needsCorrection	Correction Needed	Nécessite des corrections	Correção Necessária	Se necesita corrección	Diperlukan Koreksi	Нужна коррекция	需要校正
activityState.needsNewTranscription	Correction Needed	Correction requise	Correção Necessária	Se necesita corregir	Diperlukan Koreksi	Нужна коррекция	需要校正
grid.count	Count	Dénombrer	Contagem	Cuenta	Jumlah	Количество	总数
audacityManager.create	Create	Créer	Criar	Crear	Membuat	Создать	创建
